,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,-8.477004261249074e-11,-2.160624096412661e-10,0.0,-1.0485401469779344e-10,0.0,0.0,0.0,0.0,0.0,0.0,-5.878522727218677e-12,0.0,0.0,0.0,0.0
1,0.0,-5.374540431029822e-10,0.0,-4.1848007753598884e-10,0.0,0.0,0.0,-1.9698577490757665e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,-1.5501536545372188e-10,-7.15871688430634e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,-1.932492746377894e-10,0.0,-2.5182753228997643e-10,0.0,0.0,0.0,-3.653263024575488e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,-1.0388274668015699e-10,0.0,-2.0873360919626827e-11,0.0,0.0,0.0,-7.915611996918087e-12,0.0,0.0,0.0,-2.7507205207446914e-10
5,0.0,-1.6706327378077034e-10,0.0,0.0,0.0,-3.649609171339891e-11,0.0,1.4199757259764776e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,-2.0203137556599554e-10,-1.1002452084279012e-11,0.0,0.0,0.0,-1.5674227752807855e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,-1.3081569562049866e-11,0.0,0.0,0.0,0.0,-1.809141192304762e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,-2.9773663596372564e-10,0.0,0.0,0.0,0.0,0.0,0.0,-2.2010262117513468e-11,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3012158564449698e-11,-8.445088775082133e-11,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0627384915780272e-11,0.0,0.0,0.0,0.0
11,0.0,-2.8079595771864264e-10,0.0,0.0,0.0,0.0,0.0,-1.093922784112648e-10,0.0,0.0,0.0,-3.631684905906734e-09,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.2510688393574304e-11,0.0,-8.633656716726932e-10,0.0,0.0
13,0.0,-3.454361677853545e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.788415670395116e-10,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.758769534799263e-10
