,0
0,0.8531557359601916
1,0.28639572733215823
2,0.6776291345259187
3,0.10760468378507215
4,0.41161314099720525
5,0.8168767986182179
6,0.13197057317255304
7,0.20803693253907202
8,0.46017087692150016
9,0.13076830134874246
10,0.29185633370115177
11,0.057257742452803656
12,0.18101537585243632
13,0.12213616614378175
14,0.299304561679703
